line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.04173919353906251,0.31015626,0.31277668
1,0.08164965802610594,0.28540343,0.1905524
2,0.2941742025630453,0.43578717,0.36599055
3,0.10540925528339042,0.27727714,0.15917294
4,0.09428090411376189,0.333292,0.21488768
5,0.320256307353764,0.53802997,0.288126
6,0.09128709283419434,0.51205564,0.1966674
7,0.1421338108027302,0.24555776,0.33575177
8,0.11826247912788644,0.32734105,0.39420933
9,0.37796447277113193,0.4152257,0.5535152
10,0.10425720697418955,0.45901135,0.42677787
11,0.21483446213490678,0.6670791,0.37602967
12,0.10846522885050455,0.36765358,0.19170722
13,0.1874999998828125,0.33552763,0.21691227
14,0.12909944481802502,0.30369982,0.2093758
15,0.10050378147541615,0.3197839,0.2911782
16,0.24253562488927413,0.5100142,0.3593608
17,0.07216878359661989,0.43758276,0.2814529
18,0.2148344620579837,0.5210127,0.33745027
19,0.13867504896015342,0.31291178,0.2278149
20,0.06741998622359693,0.4352194,0.24139959
21,0.11785113012831348,0.52009225,0.30237493
22,0.080064076838441,0.4967202,0.38524005
23,0.11605177056979182,0.5114282,0.1709832
24,0.34299716999089996,0.7180982,0.3778349
25,0.11664236863593364,0.46668592,0.34736228
26,0.21938172707771136,0.7419079,0.46065933
27,0.048795003623617134,0.56246775,0.3150293
28,0.0653720450033263,0.41348082,0.21490565
29,0.06917144636268402,0.3313038,0.3217888
30,0.20225995860260898,0.18116903,0.24833809
31,0.14794534423634226,0.3722727,0.26010805
32,0.24343224763192567,0.31923115,0.24484633
33,0.13608276342622594,0.5642632,0.3661181
34,0.1386750489922047,0.4316562,0.3403298
35,0.0834057655880473,0.46578678,0.27387986
36,0.11396057639470288,0.4537554,0.30905017
37,0.11145564245295875,0.39113203,0.27941662
38,0.07715167492152214,0.36293548,0.3098574
39,0.14173667731149592,0.5514593,0.39703757
40,0.13801311177323275,0.37863177,0.26469022
41,0.13363062089668837,0.43163905,0.3635765
42,0.0653720450033263,0.4515374,0.32117924
43,0.15811388294591897,0.37095433,0.21640521
44,0.06154574545178757,0.41382375,0.30362642
45,0.11826247912788644,0.3732194,0.20203951
46,0.18015093956328207,0.51523006,0.5413667
47,0.05590169940624474,0.32340145,0.18394525
48,0.15811388292508563,0.3573333,0.24807483
49,0.09534625883365014,0.4069352,0.25561553
50,0.17739371869182968,0.5489145,0.42858574
51,0.18786728720789778,0.32772028,0.44485918
52,0.07273929669242074,0.34093565,0.20299006
53,0.07412493161116505,0.6626319,0.26735523
54,0.05773502688562923,0.45565987,0.20524862
55,0.06900655588661637,0.29216594,0.30531195
56,0.17817416111621942,0.6268348,0.44232804
57,0.06804138169768087,0.38300213,0.22262557
58,0.10101525435318025,0.18087132,0.33366722
59,0.15491933376829667,0.46222872,0.2760131
60,0.1720618003042371,0.3855801,0.27962816
61,0.08058229633760296,0.43808973,0.22689806
62,0.2034190510172776,0.6898143,0.52324885
63,0.1593638145144271,0.3851965,0.40833032
64,0.08574929253448971,0.42803016,0.18940774
65,0.11322770335035699,0.52499944,0.26065138
66,0.13245323561878508,0.47036588,0.261215
67,0.18490006523746952,0.41372854,0.33800963
68,0.05270462764169521,0.3500181,0.3139655
69,0.10540925528339042,0.4895748,0.35270736
70,0.14002800830476175,0.34088865,0.14839159
71,0.06933752448007671,0.21068174,0.20612226
72,0.1807015804994176,0.3651382,0.36207235
73,0.12309149090357514,0.35602677,0.30204877
