line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.3015113443504909,0.52614796,0.63370305
1,0.18333969932160865,0.5988188,0.54638785
2,0.1426954481784749,0.3969376,0.25058454
3,0.2519763152336647,0.5095883,0.40170294
4,0.20203050880840132,0.36432773,0.45883128
5,0.12038585301330543,0.45720696,0.5090301
6,0.21759706984992533,0.3709989,0.51838166
7,0.2020305087063605,0.33709332,0.24202846
8,0.1167748415787739,0.46309057,0.4483245
9,0.2581988895804944,0.32483783,0.2147101
10,0.13497638113902552,0.4219793,0.18863866
11,0.37712361645504755,0.64770025,0.51083267
12,0.17407765580418266,0.3981915,0.3138095
13,0.28867513438647957,0.4364292,0.35660124
14,0.07161148735266123,0.4614195,0.43627524
15,0.27498597035341044,0.6732151,0.62070894
16,0.13801311177323275,0.38609892,0.55468106
17,0.06324555316336758,0.66063696,0.64643776
18,0.16903085080284616,0.6665146,0.44734463
19,0.09449111816302108,0.37335515,0.32076973
20,0.19069251775820936,0.57246995,0.45083433
21,0.15811388292508563,0.31845042,0.29003572
22,0.09166984961878752,0.41232646,0.3496395
23,0.22360679758331228,0.39236325,0.43627104
24,0.20412414502359819,0.5217288,0.33339584
25,0.11973686794616532,0.54114056,0.44377276
26,0.09128709283419434,0.6709336,0.4981994
27,0.32232918535041183,0.48536426,0.47850707
28,0.301232037908725,0.6408577,0.4697907
29,0.31008683628071343,0.6150501,0.58733857
30,0.21320071627985285,0.77866536,0.4753667
31,0.21677749228704501,0.59643364,0.3305242
32,0.10660035812098703,0.56441,0.33142152
33,0.20573779984363577,0.44165897,0.23505163
34,0.1819017186669556,0.7130622,0.51955056
35,0.15819299924203312,0.6825612,0.6174927
36,0.20515248488137944,0.74259794,0.404799
37,0.320256307353764,0.66944283,0.5351922
38,0.10910894499894856,0.31342003,0.4028086
39,0.2502172967641419,0.7549446,0.5119258
40,0.26648544556795906,0.55784315,0.50746137
41,0.33541019643746844,0.3893057,0.48219782
42,0.13363062086692648,0.45798564,0.2640963
43,0.23570226028440472,0.632604,0.5520185
44,0.17888543811998317,0.42194396,0.3205416
45,0.3010926754687833,0.5166288,0.61013716
46,0.10660035812098703,0.654264,0.32344297
47,0.10585122474897021,0.43873176,0.40979236
48,0.4588314673902463,0.5665017,0.43267253
49,0.13093073408445258,0.5497915,0.3606973
50,0.08703882790209133,0.46107298,0.23631252
51,0.1226278678218052,0.59818393,0.41380855
52,0.1874999998828125,0.4903817,0.44816402
53,0.18786728720789778,0.48786306,0.5067435
54,0.2461829818071503,0.3732046,0.36220834
55,0.10910894505847238,0.60320467,0.5465374
56,0.21938172707771136,0.556013,0.5509684
57,0.25286086858420953,0.62966555,0.49474457
58,0.2581988895804944,0.521779,0.51325476
59,0.3857583746076107,0.52785575,0.6627931
60,0.05679618340857745,0.42576754,0.28514856
61,0.11141720286485181,0.63888437,0.443316
62,0.10910894505847238,0.57190126,0.5240771
63,0.11359236678489683,0.25569323,0.2471186
