line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.09805806747293817,0.26248085,0.2705931
1,0.28867513445592397,0.35969266,0.60623443
2,0.23904572172402158,0.6607523,0.42346212
3,0.302613766151251,0.556187,0.46662372
4,0.16666666652777776,0.69692534,0.47848636
5,0.13927150356813373,0.7076379,0.41430724
6,0.20100756284982219,0.4571914,0.31618264
7,0.2946278253207837,0.4992085,0.5509247
8,0.16366341758770858,0.5144183,0.45209628
9,0.22792115278940575,0.39752433,0.5293601
10,0.13333333324444444,0.42673805,0.20108625
11,0.24253562484025454,0.50907725,0.3275798
12,0.07372097805027465,0.46911183,0.2914303
13,0.16495721963241008,0.2500019,0.30889
14,0.13867504896015342,0.42571038,0.3580635
15,0.17817416111621942,0.5102474,0.52807343
16,0.09534625887910468,0.50508744,0.3633063
17,0.08451542540142308,0.4106401,0.3851762
18,0.06933752448007671,0.26154444,0.17129551
19,0.20801257344023014,0.5257001,0.36168772
20,0.05455447252923619,0.5297787,0.39118758
21,0.18463723635536272,0.47685832,0.39495602
22,0.16116459267520591,0.58141375,0.2739804
23,0.4124789554490972,0.45772868,0.6261823
24,0.20601048094374108,0.3606064,0.22142932
25,0.06741998620086966,0.40639806,0.3299412
26,0.24120907551675633,0.4730004,0.5053667
27,0.13834289267752115,0.46429843,0.34179997
28,0.15488061847250326,0.5861073,0.41774467
29,0.27498597035341044,0.6049276,0.57521546
30,0.20801257344023014,0.36630183,0.39637718
31,0.2581988895804944,0.6155467,0.511693
32,0.3338489302590358,0.4967979,0.4852714
33,0.19069251775820936,0.5539981,0.31608537
34,0.35355339038494044,0.33019128,0.3860197
35,0.26462806187242555,0.6999528,0.51677567
36,0.44038550580811997,0.56756824,0.6440662
37,0.06726727935438237,0.37195286,0.417903
38,0.2297518742322685,0.6803314,0.4658655
39,0.35445877829979616,0.6916192,0.5783118
40,0.3535533903432737,0.3848048,0.60241187
41,0.26666666648888887,0.39554465,0.42202175
42,0.17817416111621942,0.3694416,0.26398158
43,0.3706246580558253,0.7637569,0.59311163
44,0.08164965802610594,0.22455403,0.34765324
45,0.15756771939028774,0.62398213,0.48353788
46,0.10910894499894856,0.44377634,0.27771547
47,0.14322297470532247,0.2780371,0.31473076
48,0.17342199382963602,0.6705748,0.34387296
49,0.23652495825577288,0.4641973,0.59510225
50,0.20907169181888036,0.6458941,0.56400484
51,0.09245003261873476,0.17321147,0.38006732
52,0.3535533904543849,0.71099526,0.59950984
53,0.051031036281941215,0.39377025,0.38950178
54,0.17541160370755968,0.62009287,0.43490013
55,0.13187609459220087,0.26375037,0.29380116
56,0.06286946130666746,0.6300069,0.31069916
57,0.2148344620579837,0.46190372,0.26645404
58,0.18490006523746952,0.48205683,0.40404323
59,0.19802950849729564,0.6614654,0.33345863
60,0.15171652115052572,0.57943285,0.46014628
61,0.11180339881248948,0.6030856,0.37997687
62,0.15384615372781063,0.65624106,0.24353571
63,0.1873171622286195,0.5625905,0.4297787
64,0.21320071624197406,0.48112887,0.49148172
65,0.28571428551020406,0.4669486,0.4018159
66,0.273861278502583,0.579692,0.38272482
67,0.23782574696412484,0.3481127,0.41784886
68,0.05773502688562923,0.6151317,0.37142488
69,0.124999999921875,0.43247283,0.33704686
70,0.17496355295390045,0.65840316,0.50120825
71,0.23145502485385214,0.48719916,0.58945274
72,0.24806946902457075,0.716062,0.5256211
73,0.3768673312378173,0.45816597,0.57979715
74,0.19245008963728266,0.57587373,0.49144235
75,0.23622779551915984,0.60534245,0.474092
76,0.14433756719323979,0.61611325,0.45826495
77,0.3889222338791978,0.5200655,0.5796737
78,0.16666666657407406,0.61985326,0.39702967
79,0.26490647123757016,0.59555286,0.46879336
80,0.4913538147262811,0.5406146,0.55469954
81,0.2766857853550423,0.6235828,0.5705788
82,0.06681531043346324,0.3188763,0.21216545
83,0.051639777922765556,0.38443598,0.47053194
84,0.10206207251179909,0.38176033,0.2102839
85,0.14285714275510203,0.6144661,0.3590684
86,0.34783279632712777,0.6283632,0.67821544
87,0.3571428568877551,0.7445502,0.5602479
88,0.20228869486736764,0.55737066,0.52220666
89,0.07784989435554623,0.25125408,0.5227661
90,0.24806946902457075,0.48016077,0.5352162
91,0.2970442627459435,0.6611642,0.5198984
92,0.2696799448034786,0.49211198,0.61960363
93,0.31448545085174034,0.35125813,0.45677376
94,0.34156502536531996,0.6560961,0.55041975
95,0.19364916718537084,0.29825658,0.27239493
96,0.22613350826286815,0.621175,0.4939325
97,0.29095718676968296,0.42475125,0.43693087
98,0.432590456114782,0.745487,0.5971264
99,0.149999999925,0.4761527,0.26019612
100,0.20225995860260898,0.21090406,0.22742729
101,0.25259074267931547,0.53967047,0.5400042
102,0.23918243650305343,0.61877984,0.49626672
103,0.46188021508503385,0.54543823,0.65769964
