line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.22613350826286815,0.7013749,0.36133233
1,0.3872983343707417,0.3566105,0.5889543
2,0.21081851056678083,0.49134165,0.39282367
3,0.25515518140970606,0.21718097,0.4063113
4,0.4008918626007794,0.32788604,0.6075822
5,0.2916666665451389,0.45800647,0.47911084
6,0.16116459267520591,0.38610485,0.34321123
7,0.585369406515453,0.81742465,0.5985376
8,0.10050378147541615,0.36156064,0.36044365
9,0.2018018380631471,0.57987183,0.4332968
10,0.2352941175086505,0.6526768,0.4625437
11,0.24019223051532299,0.47338066,0.40745732
12,0.14002800830476175,0.38922113,0.3607294
13,0.12038585301330543,0.60634017,0.3843047
14,0.35355339038494044,0.5740961,0.59062856
15,0.289157465815896,0.56755555,0.52353644
16,0.28583097507411603,0.4851504,0.46599448
17,0.17541160370755968,0.41100633,0.32857355
18,0.20801257344023014,0.2793129,0.47360232
19,0.1348399724017393,0.559958,0.37247753
20,0.4551495634515772,0.5626135,0.6605157
21,0.35564337942140684,0.6355637,0.6467301
22,0.13187609459220087,0.4321295,0.33167887
23,0.35355339038494044,0.5740961,0.59062856
24,0.11433239002964642,0.44744217,0.31317845
25,0.21320071624197406,0.32076558,0.6170869
26,0.19611613504203018,0.66896343,0.5020776
27,0.11009637645202999,0.37074164,0.53109324
28,0.23693955096328603,0.5151716,0.4534619
29,0.26315789459833794,0.58275783,0.47556892
30,0.2070196676598491,0.3200048,0.5468894
31,0.25928148925279854,0.4706771,0.6469403
32,0.05923488774082151,0.36096936,0.4060278
33,0.22792115278940575,0.5249884,0.6259618
34,0.20025046962845292,0.4594404,0.5317189
35,0.12524485813859854,0.39646763,0.5427797
36,0.10526315783933518,0.5886458,0.32491845
37,0.1226278678218052,0.5146929,0.525554
38,0.19564639512211363,0.5981214,0.5409049
39,0.10526315783933518,0.5940568,0.44671676
40,0.1467347963415852,0.39961982,0.41942894
41,0.11128297675301194,0.6419063,0.43974915
42,0.25031308703556615,0.6669345,0.5779467
43,0.3222516932023602,0.34113243,0.5098718
44,0.3442651861814,0.56731886,0.5782198
45,0.3222516932023602,0.34113243,0.5098718
46,0.4160251469766141,0.6296904,0.5284666
47,0.12309149090357514,0.23187049,0.13020161
48,0.0695048046373824,0.31885996,0.28279546
49,0.24253562488927413,0.62318933,0.5068422
50,0.15171652115052572,0.69280607,0.4043445
51,0.08512565303964298,0.32870552,0.33975485
52,0.1669244651295179,0.47251338,0.2903295
53,0.08333333326388888,0.2557515,0.3361833
54,0.15309310884582364,0.38264984,0.2620844
55,0.07647191123170771,0.33047423,0.22825384
56,0.13608276339536174,0.46593893,0.29374647
57,0.13834289267752115,0.35041812,0.19019164
58,0.2545139050283678,0.7580131,0.5883243
59,0.16329931605221187,0.49848622,0.3750217
60,0.17541160370755968,0.5277529,0.38087657
61,0.21764287487510875,0.6818768,0.32149935
62,0.28644594941064494,0.6106035,0.5028256
63,0.29617443870410753,0.5417482,0.52085376
64,0.09128709283419434,0.46638772,0.40827635
65,0.21213203420596424,0.43875578,0.3713162
66,0.1999999999,0.47192043,0.55010283
67,0.2581988895804944,0.70114,0.5649587
68,0.07071067806865475,0.46015158,0.37507936
69,0.09128709283419434,0.4565995,0.3272883
70,0.306785995303654,0.566415,0.43462208
71,0.1414213561373095,0.42866033,0.21482664
72,0.21004201245714263,0.6678278,0.52195704
73,0.1414213561373095,0.36283654,0.39666972
74,0.306785995303654,0.54105353,0.51406896
75,0.2782074418825298,0.46225825,0.53988
76,0.2782074418825298,0.46225825,0.53988
77,0.14509524991673917,0.39614594,0.39746583
78,0.2788866754002474,0.39152947,0.45440838
79,0.24209101292100083,0.5658114,0.48314056
80,0.14907119844443043,0.42443177,0.32328314
81,0.1698415550255355,0.39498577,0.39253363
82,0.13363062089668837,0.35006383,0.2780429
83,0.07692307686390532,0.36868554,0.37064886
84,0.04652421049827852,0.5016174,0.35859343
85,0.056613851675178496,0.587664,0.4646964
86,0.060522753230250206,0.46388417,0.22933324
87,0.12403473451228537,0.3052591,0.39844832
88,0.11826247912788644,0.34946942,0.37442774
89,0.05063696832854231,0.2977566,0.24513434
90,0.11826247912788644,0.487682,0.31851026
91,0.16366341758770858,0.535703,0.3413631
92,0.12780429679824504,0.36199716,0.28640172
93,0.3340765521673162,0.44411227,0.41192555
94,0.23904572172402158,0.32367033,0.4130493
95,0.2916059215898341,0.42307216,0.440598
96,0.14285714278911565,0.6098701,0.49854255
97,0.2927700217417028,0.6693474,0.5347074
98,0.21821789011694476,0.5064728,0.35044542
99,0.1781741611955845,0.5844402,0.4130275
100,0.18952451082288677,0.5439279,0.35796934
101,0.1666666665972222,0.61422724,0.39184
102,0.24999999979166665,0.45895615,0.55215025
103,0.28347335448906325,0.6033033,0.5768534
104,0.28347335448906325,0.6033033,0.5768534
105,0.12598815759037732,0.60500866,0.4877784
106,0.22496063523170917,0.6536729,0.4676088
107,0.08333333326388888,0.5949362,0.42787036
108,0.26995276227805104,0.6739177,0.497643
109,0.3599370163707347,0.65402955,0.49200386
110,0.3157894735180055,0.61889046,0.5234782
111,0.19867985342817762,0.38250583,0.35903683
112,0.40509574662833847,0.59482795,0.5088565
113,0.1501878522213397,0.6061888,0.5259263
114,0.3464101613137754,0.5903578,0.5015526
115,0.3599370163707347,0.6358357,0.576559
116,0.26315789459833794,0.5812663,0.4515681
117,0.06622661780939254,0.3804272,0.36635357
118,0.29617443870410753,0.38422173,0.40520272
119,0.35540932644492906,0.59908193,0.49559045
120,0.15789473675900276,0.522902,0.47447303
121,0.15789473675900276,0.57869077,0.34713498
122,0.21398024616388134,0.75939447,0.50071007
123,0.1965892747765778,0.63059425,0.55138427
124,0.18860838392000237,0.45502228,0.62158453
125,0.2041241450930426,0.17081676,0.48053288
126,0.08058229633760296,0.6139843,0.37490523
127,0.15430334984304428,0.48017088,0.39119527
128,0.17407765580418266,0.47201008,0.47286218
129,0.0710669054013651,0.39413083,0.46283808
130,0.14433756722796198,0.60091,0.4598804
131,0.1290994447902472,0.63345164,0.30096528
132,0.07453559919443743,0.6669643,0.27320853
133,0.19364916718537084,0.6619195,0.512813
134,0.21516574136337502,0.6868798,0.43939725
135,0.22360679762497895,0.5497976,0.39649603
136,0.20801257344023014,0.56960225,0.58248854
137,0.1490711984259119,0.62310016,0.38842756
138,0.26688025619936173,0.47464606,0.5378866
139,0.16770509821873422,0.630972,0.31488654
140,0.1732050806568877,0.6540455,0.36204043
141,0.09245003261873476,0.54647267,0.3724051
142,0.19672236876375904,0.6259614,0.53223765
143,0.24806946902457075,0.7515213,0.5089269
144,0.26352313820847606,0.6575742,0.53693676
145,0.17996850818536736,0.7358961,0.4636344
146,0.2830692583758925,0.6921706,0.563254
147,0.2931977356813798,0.73430866,0.56135184
148,0.3131121453464963,0.653289,0.58869267
149,0.21081851056678083,0.5659454,0.5102863
150,0.16269784327575684,0.5393137,0.31831163
151,0.36514837150344404,0.6505481,0.5226892
152,0.18786728720789778,0.48915163,0.49599776
153,0.2690691174175295,0.64621156,0.5156407
154,0.1732050806568877,0.5827474,0.37001637
155,0.26490647132528944,0.6389559,0.56473494
156,0.32732683517541716,0.35664028,0.49342754
157,0.167248401861558,0.25961536,0.41131663
158,0.17677669519247022,0.41964972,0.24066606
159,0.1283000597376123,0.2308865,0.24384712
160,0.2491364394577716,0.6111712,0.3496064
161,0.13187609459220087,0.6145534,0.4122933
162,0.13867504896015342,0.2883211,0.36482522
163,0.19611613500997888,0.22649534,0.34294125
164,0.1490711984259119,0.44263,0.4920558
165,0.15811388292508563,0.3302886,0.17987023
166,0.1545078607078058,0.3033227,0.3628734
167,0.1732050806568877,0.5584666,0.39153454
168,0.23973165062774954,0.5736817,0.54300725
169,0.1400280083374415,0.5742905,0.3912782
170,0.16666666657407406,0.36114696,0.2639872
171,0.15638581046128433,0.5529056,0.54474944
172,0.23570226025662697,0.57472754,0.36302727
173,0.24343224763192567,0.66741043,0.50434744
174,0.09245003261873476,0.5403919,0.20219584
175,0.1421338108027302,0.3706089,0.185482
176,0.13363062086692648,0.44713306,0.50549966
177,0.22941573376529859,0.6554451,0.3761236
178,0.1226278678218052,0.5004096,0.29218873
179,0.16903085087427475,0.5232327,0.51710176
180,0.1999999999,0.6799247,0.55277526
181,0.10141851053313627,0.62727183,0.5063206
182,0.0451753951248544,0.7415049,0.36974427
183,0.16412198790510357,0.7662996,0.46469414
184,0.14213381085323523,0.7513458,0.4641363
185,0.07001400415238088,0.3295927,0.26021606
186,0.048112522409320665,0.6454808,0.45685413
187,0.0808452083127646,0.4371966,0.34431532
188,0.06154574545178757,0.6235797,0.36839455
189,0.07453559919443743,0.63171566,0.23906025
190,0.25482359558894263,0.59649354,0.50006634
191,0.23414645278577437,0.45766127,0.3556796
192,0.5329480398805246,0.78872263,0.6436844
193,0.37953605750734243,0.6309723,0.5987777
194,0.30772872725893785,0.46467537,0.34817302
195,0.26726124179337674,0.550975,0.50816935
196,0.21938172707771136,0.55666333,0.42192262
197,0.29617443870410753,0.48517457,0.50940603
198,0.5790660238856497,0.8360901,0.72782016
199,0.2817180847507753,0.7233396,0.4963375
200,0.34914862422520687,0.64862067,0.612853
201,0.23414645278577437,0.30577815,0.31333485
202,0.1669244651295179,0.544014,0.36936447
203,0.5163977793038461,0.66609305,0.7034853
204,0.10050378142491109,0.2687404,0.31936446
205,0.22866478005929283,0.42979848,0.25276458
206,0.08084520828008485,0.27501938,0.30713376
207,0.10114434743368382,0.5236579,0.3496767
208,0.0766964988259135,0.33568394,0.3658398
209,0.05716619501482321,0.5275458,0.27631968
210,0.1390096092747648,0.44049615,0.38099593
211,0.21320071620409528,0.43490115,0.40856943
212,0.05057217371684191,0.36218518,0.3100237
213,0.08084520828008485,0.42067978,0.26685232
214,0.21938172707771136,0.7147862,0.5844485
215,0.07453559919443743,0.5354906,0.24213511
216,0.07856742007011022,0.2775042,0.25753874
217,0.10540925522783486,0.3542235,0.33433902
218,0.18860838392000237,0.30526647,0.3253447
219,0.13608276339536174,0.5893406,0.43545684
220,0.11547005377125846,0.435244,0.22466418
221,0.14142135617064283,0.46140367,0.26602462
222,0.07537783608762272,0.69743824,0.3155029
223,0.0710669054013651,0.48268446,0.2986955
224,0.20739033887440045,0.64406663,0.51384133
225,0.2694079529191946,0.6325139,0.4560588
226,0.10830607215612544,0.5101804,0.3668209
227,0.1819017186669556,0.7122466,0.44366625
228,0.1944611169395989,0.7553814,0.37140095
229,0.2946278253207837,0.5750645,0.45741227
230,0.5292377465025273,0.72909224,0.6494576
231,0.17149858504446963,0.7693058,0.41608414
232,0.2222222220987654,0.4310982,0.3664588
233,0.1742427366717115,0.4010757,0.2954486
234,0.14625448471847424,0.52039397,0.3695678
235,0.17149858504446963,0.34727007,0.2758082
236,0.21997067245138477,0.40271956,0.4157587
237,0.40909090890495864,0.6121535,0.7597952
